idx,file,mat_primary,py_primary,mat_winner,py_winner,mat_rg,py_rg,mat_y100,py_y100,mat_y210,py_y210,mat_ym210,py_ym210
0,sim_0001_V0.004.h5,-0.049618824642001416,,Nearest_Fallback,Nearest_Fallback,5.110498279100326,5.110498279100267,271.59241351186085,272.10910828511163,-3979.9947434283513,-3984.4860286153894,4198.235632997436,3806.6437560197287
1,sim_0002_V0.005.h5,,,Nearest_Fallback,Nearest_Fallback,5.184469878771569,5.184469878771369,751.7539872351234,747.7764327589595,971.6481481442288,954.8886269553545,11596.30335018351,10316.839857369223
2,sim_0003_V0.005.h5,,,Nearest_Fallback,Nearest_Fallback,5.138068768390939,5.138068768390698,123.09166135682965,122.78428475879991,-10279.642149690888,-10278.894355190594,5520.163078766778,6515.433202938705
3,sim_0004_V0.006.h5,0.02226857337422271,0.019937892805279394,Unique_Solution,Consensus_Selection,5.218212388326921,5.218212388326919,565.5967382175093,559.3772609765201,10.766293764626917,-37.34995356810209,8361.102135958618,7708.943581106487
4,sim_0005_V0.007.h5,0.06383880749213312,0.059494602608857326,Consensus_Selection,Consensus_Selection,5.281430196131138,5.283272144983857,631.2015923224905,627.0718214436972,220.49056035907077,195.8870577551804,4806.527505263774,4602.870305189865
5,sim_0006_V0.008.h5,0.21835823996203305,0.15863554332245555,Nearest_Fallback,Nearest_Fallback,5.301983877230713,5.2997451735026715,656.9837133877071,663.459109258532,483.44106578442563,516.1280521570113,6230.35462420038,6912.773461407243
6,sim_0007_V0.009.h5,-0.04342454803759871,-0.046090813214048315,Nearest_Fallback,Nearest_Fallback,5.336575196153638,5.336575196153629,299.03130763980784,302.69110010484457,-3851.589538489631,-3755.921656568129,6371.886300511927,7746.815318499158
7,sim_0008_V0.010.h5,,,Nearest_Fallback,Nearest_Fallback,5.370089067169233,5.370089067169252,717.9368700210043,718.5144627312548,480.7541126709618,483.8475162899038,-5837.784351994502,-3156.121667067102
8,sim_0009_V0.010.h5,,,Nearest_Fallback,Nearest_Fallback,5.368356616396887,5.368356616396832,958.4587285616362,957.2374747844624,1321.7150221176403,1317.0610265875248,3591.284877799927,3384.1227525445784
9,sim_0010_V0.012.h5,-0.02558007673213259,-0.027982974002480066,Nearest_Fallback,Nearest_Fallback,5.405475594282673,5.405475594282614,377.00904382593916,376.12833169758056,-2168.7386553889905,-2181.6759503399885,4400.786922212999,4243.554430610609
10,sim_0011_V0.013.h5,,,Nearest_Fallback,Nearest_Fallback,5.409090608116525,5.409090608116398,761.6387741892636,763.563971295241,1122.1368944963747,1123.5280119600982,3420.457548906634,3747.013895848462
11,sim_0012_V0.014.h5,-0.004254691211942924,-0.004063154368604896,Nearest_Fallback,Nearest_Fallback,5.490458658566745,5.490458658566797,470.2027138728169,473.1240237612632,-560.0695823806731,-528.5150383986293,3898.2506859168866,4097.224440357553
12,sim_0013_V0.015.h5,,,Nearest_Fallback,Nearest_Fallback,5.51502521095812,5.515025210958177,245.2413902635978,241.89658597242,-4448.434534643973,-4573.2807978635565,86745.11889376522,5362.9149129753705
13,sim_0014_V0.016.h5,0.06163930261569064,0.06636569126445488,Consensus_Selection,Consensus_Selection,5.534240890923684,5.534240890923782,629.6419636717968,634.0980131766405,283.78783652770306,308.4484004043977,4892.549517866064,5628.573483636723
14,sim_0015_V0.017.h5,-0.017289745044156618,-0.018721925474966816,Nearest_Fallback,Nearest_Fallback,5.574668881334741,5.575017017592804,413.488209918984,413.96109257678575,-1538.8987967109495,-1541.0674274582739,3824.1937786562144,4318.022657108746
15,sim_0016_V0.019.h5,,,Nearest_Fallback,Nearest_Fallback,5.607448378239582,5.607448378239478,45.820413718052286,47.993754611938044,-38671.62731226836,-36695.168000945654,3750.9998881604092,4037.064513290915
16,sim_0017_V0.020.h5,-0.03623835929236803,-0.03844474643413953,Nearest_Fallback,Nearest_Fallback,5.644769094645978,5.644769094645709,330.94831013743897,334.2697666269225,-2797.562330547532,-2729.389636278733,4074.482732563359,3456.188710206778
17,sim_0018_V0.021.h5,,,Nearest_Fallback,Nearest_Fallback,5.711306396307555,5.711306396307428,684.7551966409759,683.385407598612,157.41768819448396,152.12298765285337,3120.4853366957054,2922.3960218894135
18,sim_0019_V0.023.h5,0.03532627513285337,0.03335175842450632,Unique_Solution,Consensus_Selection,5.716051504018755,5.716055319422325,595.5482796715007,591.5517856934048,227.54464690769,197.84405108250195,1009.0207680992728,1421.4063598903485
19,sim_0020_V0.024.h5,0.028506803497820025,0.029908683245823173,Unique_Solution,Consensus_Selection,5.77973946021976,5.779739460219837,580.59441524428,583.8176213822537,-87.81470425260768,-64.81752661690659,3554.7494879153023,4069.092095753135
20,sim_0021_V0.026.h5,-0.030256669056678193,-0.03420248157873358,Nearest_Fallback,Nearest_Fallback,5.8099216844889305,5.809921684488883,357.3479887690691,351.77862326990305,-2000.2066866827636,-2095.114706855651,6616.785926678688,5791.175118516448
21,sim_0022_V0.028.h5,0.008545362521903884,0.008992465266887663,Unique_Solution,Consensus_Selection,5.874762290371406,5.874762290371416,523.7933100100923,525.4224097434133,-186.28260072768015,-176.86849646141732,-4274.444255229138,-41426.54685688071
22,sim_0023_V0.029.h5,0.06566155590381892,0.06973078344734654,Consensus_Selection,Consensus_Selection,5.935764372818019,5.935764372817838,634.0224335612086,636.3658049943247,150.92332488726996,168.09762654253913,204.62815971993936,393.3853578922192
23,sim_0024_V0.031.h5,0.007860442240020369,0.0062452403157517095,Unique_Solution,Consensus_Selection,5.983567838932406,5.983567838932036,521.358924719147,515.4736443141228,-347.92009718123734,-398.72081843505515,4804.233247967574,4535.360273872555
24,sim_0025_V0.033.h5,,,Nearest_Fallback,Nearest_Fallback,6.054921158059239,6.0549211580592,772.5200635194302,773.5615763175745,820.7770555258915,824.3260465302484,3292.3909112358697,4320.669270761028
